ticker,sector,end,Y,ano_test,prob_breakeven_oof
UIS,Services-Computer Integrated Systems Design,2020-12-31,1.0,2020,0.5337020446386891
UPWK,Services-Computer Processing & Data Preparation,2020-03-31,1.0,2020,0.44366273727959227
VERX,Services-Prepackaged Software,2020-03-31,0.0,2020,0.392722091710178
VERX,Services-Prepackaged Software,2020-06-30,1.0,2020,0.5721148866421688
VERX,Services-Prepackaged Software,2020-09-30,1.0,2020,0.3594323093519837
VICR,"Electronic Components, NEC",2020-03-31,1.0,2020,0.4790780948684713
VICR,"Electronic Components, NEC",2020-06-30,1.0,2020,0.7193902363047369
VISN,Radio & Tv Broadcasting & Communications Equipment,2020-03-31,0.0,2020,0.7340973935170056
VISN,Radio & Tv Broadcasting & Communications Equipment,2020-06-30,0.0,2020,0.8291177783117678
VPG,Electronic Components & Accessories,2020-06-27,1.0,2020,0.7127663032683458
VREX,"Electronic Components, NEC",2020-04-03,1.0,2020,0.9487978575457923
VREX,"Electronic Components, NEC",2020-10-02,1.0,2020,0.7086463597330221
VRNS,Services-Prepackaged Software,2020-06-30,1.0,2020,0.682060567412716
VRNS,Services-Prepackaged Software,2020-09-30,1.0,2020,0.5425558339294054
VSH,Electronic Components & Accessories,2020-07-04,1.0,2020,0.9135191939431675
VUZI,Radio & Tv Broadcasting & Communications Equipment,2020-03-31,0.0,2020,0.11896772782969647
VUZI,Radio & Tv Broadcasting & Communications Equipment,2020-09-30,0.0,2020,0.15536850083107603
VUZI,Radio & Tv Broadcasting & Communications Equipment,2020-12-31,0.0,2020,0.24840094551798514
WEAV,Services-Prepackaged Software,2020-12-31,0.0,2020,0.4111117410447549
WK,Services-Prepackaged Software,2020-06-30,1.0,2020,0.5568195120569022
