cik,nombre,sic,sic_descripcion,ticker,bolsa
724910,NVE CORP /NEW/,3674.0,Semiconductors & Related Devices,NVEC,Nasdaq
1377789,"AVIAT NETWORKS, INC.",3663.0,Radio & Tv Broadcasting & Communications Equipment,AVNW,Nasdaq
1768267,Cerence Inc.,7372.0,Services-Prepackaged Software,CRNC,Nasdaq
1826681,Palladyne AI Corp.,7372.0,Services-Prepackaged Software,PDYN,Nasdaq
2186,BK Technologies Corp,3663.0,Radio & Tv Broadcasting & Communications Equipment,BKTI,NYSE
320121,TELOS CORP,7373.0,Services-Computer Integrated Systems Design,TLS,Nasdaq
1023731,8X8 INC /DE/,7374.0,Services-Computer Processing & Data Preparation,EGHT,Nasdaq
1625641,"CS Disco, Inc.",7372.0,Services-Prepackaged Software,LAW,NYSE
1788999,Xperi Inc.,7372.0,Services-Prepackaged Software,XPER,NYSE
1828805,"Aeluma, Inc.",3674.0,Semiconductors & Related Devices,ALMU,Nasdaq
884144,ASURE SOFTWARE INC,7373.0,Services-Computer Integrated Systems Design,ASUR,Nasdaq
1066194,EGAIN Corp,7372.0,Services-Prepackaged Software,EGAN,Nasdaq
1023459,"Simulations Plus, Inc.",7373.0,Services-Computer Integrated Systems Design,SLP,Nasdaq
1169445,"TruBridge, Inc.",7371.0,Services-Computer Programming Services,TBRG,Nasdaq
1493761,Turtle Beach Corp,3669.0,"Communications Equipment, NEC",TBCH,Nasdaq
1626450,"Commerce.com, Inc.",7372.0,Services-Prepackaged Software,CMRC,Nasdaq
1462056,"Backblaze, Inc.",7372.0,Services-Prepackaged Software,BLZE,Nasdaq
1617553,"ZIPRECRUITER, INC.",7370.0,"Services-Computer Programming, Data Processing, Etc.",ZIP,NYSE
1058811,IMMERSION CORP,3577.0,"Computer Peripheral Equipment, NEC",IMMR,Nasdaq
1022652,INSEEGO CORP.,3669.0,"Communications Equipment, NEC",INSG,Nasdaq
1432133,KALTURA INC,7372.0,Services-Prepackaged Software,KLTR,Nasdaq
65770,"MICROVISION, INC.",3679.0,"Electronic Components, NEC",MVIS,Nasdaq
1902314,"M-tron Industries, Inc.",3679.0,"Electronic Components, NEC",MPTI,NYSE
1615063,"Inspired Entertainment, Inc.",7372.0,Services-Prepackaged Software,INSE,Nasdaq
1770450,Xerox Holdings Corp,3577.0,"Computer Peripheral Equipment, NEC",XRX,Nasdaq
65270,METHODE ELECTRONICS INC,3678.0,Electronic Connectors,MEI,NYSE
1420520,Atomera Inc,3674.0,Semiconductors & Related Devices,ATOM,Nasdaq
909494,TUCOWS INC /PA/,7374.0,Services-Computer Processing & Data Preparation,TCX,Nasdaq
1463972,Vuzix Corp,3663.0,Radio & Tv Broadcasting & Communications Equipment,VUZI,Nasdaq
746838,UNISYS CORP,7373.0,Services-Computer Integrated Systems Design,UIS,NYSE
1505952,"DOMO, INC.",7372.0,Services-Prepackaged Software,DOMO,Nasdaq
355948,"RICHARDSON ELECTRONICS, LTD.",5065.0,"Wholesale-Electronic Parts & Equipment, NEC",RELL,Nasdaq
1943289,"Silvaco Group, Inc.",7372.0,Services-Prepackaged Software,SVCO,Nasdaq
50471,"ReposiTrak, Inc.",7374.0,Services-Computer Processing & Data Preparation,TRAK,NYSE
1438231,Digimarc CORP,7373.0,Services-Computer Integrated Systems Design,DMRC,Nasdaq
1871638,"Blaize Holdings, Inc.",3674.0,Semiconductors & Related Devices,BZAI,Nasdaq
1662684,"KULR Technology Group, Inc.",3670.0,Electronic Components & Accessories,KULR,NYSE
1861795,Definitive Healthcare Corp.,7372.0,Services-Prepackaged Software,DH,Nasdaq
1779474,"WM TECHNOLOGY, INC.",7372.0,Services-Prepackaged Software,MAPS,Nasdaq
1437925,Meridian Holdings Inc./NV,7372.0,Services-Prepackaged Software,MRDN,Nasdaq
356037,CSP INC /MA/,7373.0,Services-Computer Integrated Systems Design,CSPI,Nasdaq
1842566,"Airship AI Holdings, Inc.",7372.0,Services-Prepackaged Software,AISP,Nasdaq
1351636,"SOUNDTHINKING, INC.",7372.0,Services-Prepackaged Software,SSTI,Nasdaq
1636422,"Health Catalyst, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",HCAT,Nasdaq
1362190,AUDIOEYE INC,7372.0,Services-Prepackaged Software,AEYE,Nasdaq
1476840,"Expensify, Inc.",7372.0,Services-Prepackaged Software,EXFY,Nasdaq
1454938,Teads Holding Co.,7370.0,"Services-Computer Programming, Data Processing, Etc.",TEAD,Nasdaq
1823878,"PLAYSTUDIOS, Inc.",7372.0,Services-Prepackaged Software,MYPS,Nasdaq
1805651,"MARKETWISE, INC.",7372.0,Services-Prepackaged Software,MKTW,Nasdaq
1774675,Skillsoft Corp.,7372.0,Services-Prepackaged Software,SKIL,NYSE
87050,Neonode Inc.,3679.0,"Electronic Components, NEC",NEON,Nasdaq
1637147,"zSpace, Inc.",7372.0,Services-Prepackaged Software,ZSPC,Nasdaq
729580,BEL FUSE INC /NJ,3677.0,"Electronic Coils, Transformers & Other Inductors",BELFB,Nasdaq
